Lat,Long,Type,Count,State
42.6913359167846,23.3394349322493,1100,1,ДОБРО,
42.6871212941714,23.3426995956952,1100,1,ДОБРО,
42.6917335743354,23.3281088722442,120,1,ДОБРО,
42.690564424927,23.3407111630738,1100,2,ДОБРО,
42.6837058451291,23.3217219095319,1100,1,ДОБРО,
42.6925248831798,23.3211252490978,1100,4,ДОБРО,
42.6898059844186,23.3423440284916,1100,2,ДОБРО,
42.6931350673632,23.3244342784239,1100,3,ДОБРО,
42.6919327544608,23.3222269328614,1100,2,ДОБРО,
42.6909936298707,23.338037278908,1100,1,ДОБРО,
42.6865401173788,23.3513740121575,1100,1,ДОБРО,
42.6919583096798,23.3258834221855,1100,1,ДОБРО,
42.6924543771435,23.3286044301258,1100,2,ДОБРО,
42.6925322130952,23.3204438040874,1100,4,ДОБРО,
42.6951793598817,23.3270154416414,1100,2,ДОБРО,
42.6925771387996,23.3216899775868,1100,4,ДОБРО,
42.6897810458414,23.3388361635455,1100,2,ДОБРО,
42.6925039252232,23.3223324809379,1100,3,ДОБРО,
42.6926855809068,23.3283679049627,1100,2,ДОБРО,
42.6922468630772,23.3280307917483,1100,4,ДОБРО,
42.6916657097019,23.3285868003755,1100,1,ДОБРО,
42.690862809386,23.3389720967457,1100,1,ДОБРО,
42.6922473832603,23.3274742697714,1100,1,ЗА ОБСУЖВАНЕ,
42.6923224575877,23.3272195155957,1100,1,ЗА ОБСУЖВАНЕ,
42.6918225049898,23.3256269189625,1100,1,ДОБРО,
42.68951202796,23.3398730684872,1100,1,ДОБРО,
42.6922085695211,23.3258495146799,1100,3,ДОБРО,
42.6877296372696,23.3417833808206,1100,1,ДОБРО,
42.6930255215112,23.3357767539818,1100,1,ДОБРО,
42.6914924186505,23.325218704422,1100,1,ДОБРО,
42.6907325089319,23.3300183053887,1100,1,ДОБРО,
42.6854965394469,23.3237934616656,1100,1,ДОБРО,
42.6908266700841,23.3420252598424,1100,2,ДОБРО,
42.689305660308,23.3449715771302,1100,1,ДОБРО,
42.6915870901082,23.3252891313648,1100,2,ДОБРО,
42.690370554071,23.3390158825638,1100,2,ДОБРО,
42.6866275934059,23.3358132923047,1100,2,ДОБРО,
42.6887878258626,23.3231926099284,1100,1,ДОБРО,
42.6922406656885,23.3303814764086,1100,2,ДОБРО,
42.687919455334,23.3305139841239,1100,1,ДОБРО,
42.6921179733316,23.3426218634179,1100,1,ДОБРО,
42.6902783255505,23.3399902889925,1100,2,ДОБРО,
42.6841423280131,23.3231270134878,1100,1,ДОБРО,
42.6851645697319,23.34732518507,1100,1,ДОБРО,
42.6924908775986,23.3373936506771,1100,2,ДОБРО,
42.6902180131467,23.3404072966482,1100,4,ДОБРО,
42.689647218122,23.3425133038929,1100,2,ДОБРО,
42.6869232911181,23.3283138842238,1100,1,ДОБРО,
42.6928307095572,23.3428578521909,1100,2,ДОБРО,
42.6847815914464,23.3251254505256,1100,1,ДОБРО,
42.6903191771256,23.3306864702467,1100,2,ДОБРО,
42.6901010545473,23.3402257187151,1100,2,ДОБРО,
42.6890897236711,23.3399821875058,1100,1,ДОБРО,
42.6898151109284,23.3459252029905,1100,1,ДОБРО,
42.689671733303,23.3424020526448,1100,2,ДОБРО,
42.6934276077047,23.3358670710354,1100,1,ДОБРО,
42.6923080502428,23.3344069309785,1100,5,ДОБРО,
42.6894157559249,23.343443308162,1100,2,ДОБРО,
42.6890201306488,23.3454530927642,1100,1,ДОБРО,
42.6939570262655,23.3284737192148,1100,1,ДОБРО,
42.6934409866164,23.3311923085706,1100,4,ДОБРО,
42.6936553545603,23.3328189224926,1100,4,ДОБРО,
42.6891467865586,23.3441646451725,1100,2,ДОБРО,
42.6890504974814,23.3464317091288,1100,1,ДОБРО,
42.6892279345173,23.3438508175454,1100,2,ДОБРО,
42.6911230987772,23.3244796972615,1100,1,ДОБРО,
42.6925197760037,23.3409425891871,1100,3,ДОБРО,
42.6925462439079,23.3438141312856,1100,1,ДОБРО,
42.6931044810094,23.3288818383847,1100,4,ДОБРО,
42.6922562191981,23.3433140868329,1100,1,ДОБРО,
42.6844984567069,23.3334713914057,1100,1,ДОБРО,
42.6920010512282,23.3422234186723,1100,1,ДОБРО,
42.6918432579301,23.3415277302154,1100,1,ДОБРО,
42.6857704624227,23.3280853247606,1100,1,ДОБРО,
42.6899227673632,23.3413852980384,1100,2,ДОБРО,
42.6908915731987,23.3297244398398,1100,1,ДОБРО,
42.6857492431983,23.3280579907647,1100,1,ДОБРО,
42.6916099400634,23.340638885356,1100,1,ДОБРО,
42.6914843263431,23.3400508713675,1100,1,ДОБРО,
42.6948293273265,23.3224084705649,1100,2,ДОБРО,
42.6910278142735,23.3371738643083,1100,4,ДОБРО,
42.6901893780027,23.3422006010029,1100,2,ДОБРО,
42.6899464777587,23.3415751948625,1100,2,ДОБРО,
42.6898186314188,23.3420957072047,1100,2,ДОБРО,
42.689056619893,23.3417390690172,1100,1,ДОБРО,
42.6932625322823,23.3288244498198,1100,4,ДОБРО,
42.692474227646,23.337700241398,1100,5,ДОБРО,
42.6920381956491,23.3387254140313,1100,4,ДОБРО,
42.6924947268531,23.3388932914434,1100,2,ДОБРО,
42.6857750282386,23.3231040098619,1100,2,ДОБРО,
42.6861384390362,23.346196163271,1100,2,ДОБРО,
